"avatar_id","avatar_name","gender","premium","preview_image_url","preview_video_url"
"Kelly_Doctor_Right","Kelly in Doctor (Right)","female","False","https://files2.heygen.ai/avatar/v3/7dd586797b57486084c509fb0c20930f_34400/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/7dd586797b57486084c509fb0c20930f_34400/preview_video_talk_2.mp4"
"Kelly_Pink_Shirt_Front","Kelly in Pink Shirt (Front)","female","False","https://files2.heygen.ai/avatar/v3/e3b245bcf41b497da8d5f6dedddf3fdc_34380/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/e3b245bcf41b497da8d5f6dedddf3fdc_34380/preview_video_talk_1.mp4"
"Kelly_Pink_Shirt_Left","Kelly in Pink Shirt (Left)","female","False","https://files2.heygen.ai/avatar/v3/68e38a4ca8354698a6a2a98094a92dc8_34390/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/68e38a4ca8354698a6a2a98094a92dc8_34390/preview_video_talk_1.mp4"
"Kelly_Pink_Shirt_Right","Kelly in Pink Shirt (Right)","female","False","https://files2.heygen.ai/avatar/v3/f0d42e29dde746e7a8bfe17626b8c08a_34400/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/f0d42e29dde746e7a8bfe17626b8c08a_34400/preview_video_talk_1.mp4"
"Klara_public_6","Klara in Black blazer","female","False","https://files2.heygen.ai/avatar/v3/1b11039879254e7791335caa3ca17723_58510/preview_target.webp","https://files2.heygen.ai/avatar/v3/1b11039879254e7791335caa3ca17723_58510/preview_video_target.mp4"
"Klara_public_2","Klara in Blue blazer","female","False","https://files2.heygen.ai/avatar/v3/a0b8fb3136304825aa2d00a9e6b8afb0_58470/preview_target.webp","https://files2.heygen.ai/avatar/v3/a0b8fb3136304825aa2d00a9e6b8afb0_58470/preview_video_target.mp4"
"Klara_public_5","Klara in Blue dress","female","False","https://files2.heygen.ai/avatar/v3/50dd80dc30e2479fb7ea240fbe57a917_58500/preview_target.webp","https://files2.heygen.ai/avatar/v3/50dd80dc30e2479fb7ea240fbe57a917_58500/preview_video_target.mp4"
"Klara_public_1","Klara in Pink shirt","female","False","https://files2.heygen.ai/avatar/v3/db520891f724491d919a0d1f8e92385b_58460/preview_target.webp","https://files2.heygen.ai/avatar/v3/db520891f724491d919a0d1f8e92385b_58460/preview_video_target.mp4"
"Klara_public_4","Klara in White blazer","female","False","https://files2.heygen.ai/avatar/v3/528b7604e21046389fcf5ea8cbac2edf_58490/preview_target.webp","https://files2.heygen.ai/avatar/v3/528b7604e21046389fcf5ea8cbac2edf_58490/preview_video_target.mp4"
"Klara_public_3","Klara in White shirt","female","False","https://files2.heygen.ai/avatar/v3/902d856319f14463a42c4bdae34f3400_58480/preview_target.webp","https://files2.heygen.ai/avatar/v3/902d856319f14463a42c4bdae34f3400_58480/preview_video_target.mp4"
"Kristin_public_3_20240108","Kristin in Lace Dress","female","False","https://files2.heygen.ai/avatar/v3/f94222a03cee4adaa110761a374cfadc_13181/preview_target.webp","https://files2.heygen.ai/avatar/v3/f94222a03cee4adaa110761a374cfadc_13181/preview_video_target.mp4"
"Kristin_public_20240108","Kristin in V-neck Shirt","female","False","https://files2.heygen.ai/avatar/v3/f94222a03cee4adaa110761a374cfadc_13181/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/f94222a03cee4adaa110761a374cfadc_13181/preview_video_talk_2.mp4"
"Kristin_public_2_20240108","Kristin in Black Suit","female","False","https://files2.heygen.ai/avatar/v3/f94222a03cee4adaa110761a374cfadc_13181/preview_talk_5.webp","https://files2.heygen.ai/avatar/v3/f94222a03cee4adaa110761a374cfadc_13181/preview_video_talk_5.mp4"
